[5/12/2026, 08:30:15 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/12/2026, 09:15:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/12/2026, 10:45:30 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/12/2026, 02:00:10 PM] FOKUS SELESAI | Durasi: 25 Menit
[5/13/2026, 07:45:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/13/2026, 08:30:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/13/2026, 04:15:20 PM] FOKUS SELESAI | Durasi: 25 Menit
[5/14/2026, 09:00:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/14/2026, 10:00:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/14/2026, 11:00:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/14/2026, 01:30:00 PM] FOKUS SELESAI | Durasi: 25 Menit
[5/14/2026, 03:00:00 PM] FOKUS SELESAI | Durasi: 25 Menit
[5/14/2026, 04:00:00 PM] FOKUS SELESAI | Durasi: 25 Menit
[5/15/2026, 08:00:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/15/2026, 09:00:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/15/2026, 11:30:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/16/2026, 10:00:00 AM] FOKUS SELESAI | Durasi: 25 Menit
[5/16/2026, 02:00:00 PM] FOKUS SELESAI | Durasi: 25 Menit
[5/17/2026, 09:00:00 AM] FOKUS SELESAI | Durasi: 25 Menit
